timestamp,elapsed_time(s),marker_id,distance(m),x(m),y(m),z(m),roll(deg),pitch(deg),yaw(deg)
2025-10-21 20:26:12.277,0.027,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.380,0.130,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.511,0.261,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.643,0.393,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.743,0.494,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.845,0.595,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:12.979,0.730,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.080,0.831,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.210,0.960,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.311,1.061,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.411,1.161,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.512,1.262,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.647,1.397,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.778,1.528,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:13.912,1.662,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.015,1.766,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.145,1.895,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.246,1.996,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.348,2.098,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.479,2.229,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.613,2.363,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.718,2.468,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.851,2.601,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:14.978,2.729,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.112,2.862,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.213,2.963,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.314,3.065,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.445,3.195,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.545,3.296,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.646,3.396,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.746,3.496,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:15.880,3.631,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.013,3.763,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.113,3.863,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.217,3.967,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.347,4.097,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.447,4.198,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.548,4.298,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.680,4.430,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.785,4.536,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:16.913,4.663,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:17.013,4.764,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:17.115,4.865,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
2025-10-21 20:26:17.352,5.102,0,0.3003,0.0308,-0.0211,0.2979,178.19,0.42,0.10
